# META,public,LGE Pressure Sensor Non-wakeup,LGE,string_type=android.sensor.pressure,min_delay_us=40000,max_delay_us=1000000,resolution_hpa=0.0016
# META,unfiltered,LGE Unfiltered Pressure  Non-wakeup,Goertek,string_type=lge.sensor.lg_unfiltered_pressure,min_delay_us=31250,max_delay_us=1000000,resolution_hpa=0.01
source,timestamp_ns,pressure_hpa
public,668209813848982,981.79809570
unfiltered,668209840117367,981.79901123
unfiltered,668209871365805,981.79998779
public,668209853848982,981.79809570
public,668209893848982,981.79809570
unfiltered,668209902610075,981.80053711
unfiltered,668209933860596,981.80108643
public,668209933848982,981.79809570
unfiltered,668209965110336,981.80108643
unfiltered,668209996328513,981.79962158
public,668209973848982,981.79809570
unfiltered,668210027606690,981.79724121
public,668210013848982,981.79827881
public,668210053848982,981.79827881
unfiltered,668210058862419,981.79681396
unfiltered,668210090107680,981.79705811
unfiltered,668210121362940,981.79638672
public,668210093848982,981.79809570
unfiltered,668210152607680,981.79553223
public,668210133848982,981.79809570
public,668210173848982,981.79797363
unfiltered,668210183858200,981.79486084
public,668210213848982,981.79766846
unfiltered,668210215107680,981.79498291
unfiltered,668210246357732,981.79595947
unfiltered,668210277612419,981.79693604
public,668210253848982,981.79736328
unfiltered,668210308857159,981.79779053
public,668210293848982,981.79736328
unfiltered,668210340107940,981.79876709
public,668210333848982,981.79736328
unfiltered,668210371357159,981.79888916
unfiltered,668210402607992,981.79907227
public,668210373848982,981.79736328
unfiltered,668210433857732,981.79888916
public,668210413848982,981.79736328
public,668210453848982,981.79736328
unfiltered,668210465107992,981.79827881
unfiltered,668210496361377,981.79797363
public,668210493848982,981.79736328
unfiltered,668210527607732,981.79748535
unfiltered,668210558858773,981.79779053
public,668210533848982,981.79736328
unfiltered,668210590120752,981.79809570
public,668210573848982,981.79736328
public,668210613848982,981.79736328
unfiltered,668210621362940,981.79827881
unfiltered,668210652607680,981.79791260
public,668210653848982,981.79736328
unfiltered,668210683857471,981.79766846
public,668210693848982,981.79736328
unfiltered,668210715108252,981.79772949
public,668210733848982,981.79736328
unfiltered,668210746357992,981.79718018
unfiltered,668210777614450,981.79626465
public,668210773848982,981.79730225
unfiltered,668210808859815,981.79663086
public,668210813848982,981.79724121
unfiltered,668210840112211,981.79742432
unfiltered,668210871360127,981.79614258
public,668210853848982,981.79724121
unfiltered,668210902611638,981.79583740
public,668210893848982,981.79705811
unfiltered,668210933857992,981.79663086
public,668210933848982,981.79705811
unfiltered,668210965111898,981.79724121
unfiltered,668210996357992,981.79736328
public,668210973848982,981.79705811
unfiltered,668211027607263,981.79742432
public,668211013848982,981.79705811
unfiltered,668211058857002,981.79724121
public,668211053848982,981.79705811
unfiltered,668211090113721,981.79711914
public,668211093848982,981.79705811
unfiltered,668211121364034,981.79736328
unfiltered,668211152616638,981.79748535
public,668211133848982,981.79705811
unfiltered,668211183863982,981.79827881
public,668211173848982,981.79705811
unfiltered,668211215114242,981.79833984
public,668211213848982,981.79705811
unfiltered,668211246363461,981.79803467
unfiltered,668211277613461,981.79687500
public,668211253848982,981.79705811
unfiltered,668211308869190,981.79553223
public,668211293848982,981.79705811
public,668211333848982,981.79699707
unfiltered,668211340113721,981.79583740
unfiltered,668211371364242,981.79650879
unfiltered,668211402615075,981.79687500
public,668211373848982,981.79699707
public,668211413848982,981.79705811
unfiltered,668211433863721,981.79766846
unfiltered,668211465114242,981.79711914
public,668211453848982,981.79705811
public,668211493848982,981.79705811
unfiltered,668211496328409,981.79583740
unfiltered,668211527613721,981.79486084
public,668211533848982,981.79699707
unfiltered,668211558861898,981.79431152
unfiltered,668211590123617,981.79498291
public,668211573848982,981.79699707
unfiltered,668211621361846,981.79632568
public,668211613848982,981.79699707
unfiltered,668211652607992,981.79760742
public,668211653848982,981.79705811
unfiltered,668211683859555,981.79821777
unfiltered,668211715107732,981.79748535
public,668211693848982,981.79705811
unfiltered,668211746357732,981.79693604
public,668211733848982,981.79705811
public,668211773848982,981.79705811
unfiltered,668211777607523,981.79656982
unfiltered,668211808859242,981.79626465
public,668211813848982,981.79705811
unfiltered,668211840108252,981.79669189
unfiltered,668211871359294,981.79681396
public,668211853848982,981.79705811
unfiltered,668211902608305,981.79718018
public,668211893848982,981.79705811
unfiltered,668211933859763,981.79779053
public,668211933848982,981.79711914
unfiltered,668211965107992,981.79797363
unfiltered,668211996357680,981.79748535
public,668211973848982,981.79718018
public,668212013848982,981.79718018
unfiltered,668212027607992,981.79602051
unfiltered,668212058858773,981.79571533
public,668212053848982,981.79718018
unfiltered,668212090107471,981.79547119
public,668212093848982,981.79718018
unfiltered,668212121359294,981.79418945
public,668212133848982,981.79718018
unfiltered,668212152607471,981.79412842
unfiltered,668212183857471,981.79455566
public,668212173848982,981.79718018
unfiltered,668212215107940,981.79357910
public,668212213848982,981.79718018
unfiltered,668212246358513,981.79333496
unfiltered,668212277614034,981.79492188
public,668212253848982,981.79718018
public,668212293848982,981.79718018
unfiltered,668212308857211,981.79608154
unfiltered,668212340111898,981.79669189
public,668212333848982,981.79718018
unfiltered,668212371358044,981.79736328
unfiltered,668212402612159,981.79864502
public,668212373848982,981.79718018
public,668212413848982,981.79724121
unfiltered,668212433858200,981.79827881
unfiltered,668212465111169,981.79766846
public,668212453848982,981.79724121
public,668212493848982,981.79724121
unfiltered,668212496357211,981.79821777
unfiltered,668212527607471,981.79821777
unfiltered,668212558857732,981.79827881
public,668212533848982,981.79724121
unfiltered,668212590121273,981.79833984
public,668212573848982,981.79724121
unfiltered,668212621357471,981.79797363
public,668212613848982,981.79730225
unfiltered,668212652613721,981.79797363
